period,uk_hpi_annual_change_pct
2011-Q1,-0.7666666666666666
2011-Q2,-1.8
2011-Q3,-2.033333333333333
2011-Q4,-1.2333333333333334
2012-Q1,-0.39999999999999997
2012-Q2,0.6
2012-Q3,0.4666666666666666
2012-Q4,0.9333333333333335
2013-Q1,1.3333333333333333
2013-Q2,1.5666666666666667
2013-Q3,2.9
2013-Q4,4.433333333333334
2014-Q1,6.433333333333334
2014-Q2,8.133333333333333
2014-Q3,8.966666666666667
2014-Q4,8.5
2015-Q1,6.8
2015-Q2,5.266666666666667
2015-Q3,5.333333333333333
2015-Q4,6.433333333333334
2016-Q1,7.966666666666666
2016-Q2,8.033333333333333
2016-Q3,6.7
2016-Q4,5.366666666666667
2017-Q1,4.433333333333334
2017-Q2,4.466666666666667
2017-Q3,4.7
2017-Q4,4.666666666666667
2018-Q1,4.233333333333333
2018-Q2,3.1
2018-Q3,2.8333333333333335
2018-Q4,2.4333333333333336
2019-Q1,1.4666666666666668
2019-Q2,1.0
2019-Q3,0.7000000000000001
2019-Q4,0.7999999999999999
2020-Q1,1.8
2020-Q2,1.2666666666666666
2020-Q3,2.5
2020-Q4,5.866666666666667
2021-Q1,7.733333333333333
2021-Q2,9.433333333333334
2021-Q3,8.233333333333334
2021-Q4,7.166666666666667
2022-Q1,8.066666666666666
2022-Q2,9.0
2022-Q3,11.033333333333333
2022-Q4,9.066666666666666
2023-Q1,4.033333333333334
2023-Q2,1.3
2023-Q3,-1.35
2023-Q4,-2.466666666666667
2024-Q1,-1.2666666666666666
2024-Q2,0.3333333333333333
2024-Q3,0.9
2024-Q4,2.5
