sheet_name,series_label
Summary 1,All loans Per cent
Summary 1,Buy to let Per cent
Summary 1,Fixed rate loans Per cent
Summary 1,Further advances Per cent
Summary 1,Gross advances £ millions
Summary 1,House purchase Per cent
Summary 1,Net advances £ millions
Summary 1,New commitments £ millions
Summary 1,Of which:  First time buyers Per cent
Summary 1,Other (inc further advances) Per cent
Summary 1,Other Per cent
Summary 1,Per cent of business at fixed rates Per cent
Summary 1,Remortgage Per cent
Summary 1,Variable rate loans Per cent
Summary 2,< = 75% Per cent
Summary 2,All over 90% Per cent
Summary 2,Loans with impaired credit history Per cent
Summary 2,Loans without impaired credit history Per cent
Summary 2,Over 75 < = 90% Per cent
Summary 2,Over 90 < = 95% Per cent
Summary 2,Over 95% Per cent
Summary 2,Overall residential loans to individuals £ millions
Summary 2,Securitised £ millions
Summary 2,Unsecuritised £ millions
