variable,count,mean,median,min,max,std
serious_arrears_rate_pct,56.0,1.0310714285714286,0.8985000000000001,0.603,2.062,0.41637761956897024
total_arrears_rate_pct,56.0,1.4349464285714286,1.2325,0.775,2.884,0.6230206889791895
new_possessions_units,56.0,3451.910714285714,2141.5,249.0,9674.0,2919.586691028128
stock_possessions_units,56.0,6501.071428571428,4358.0,1583.0,16262.0,4463.219550777395
avg_interest_rate_all_loans_pct,56.0,3.034160714285714,2.7270000000000003,1.901,5.341,0.9540082861615694
uk_hpi_annual_change_pct,56.0,3.7485119047619047,3.5666666666666673,-2.466666666666667,11.033333333333331,3.5407886994280116
gross_advances_gbp_m,56.0,59535.659178571426,62266.235499999995,32984.725,89117.086,14138.346524731407
new_commitments_gbp_m,56.0,59937.592874999995,61014.4755,34420.936,87794.85,15154.907607247304
fixed_rate_share_pct,56.0,82.90810714285715,87.104,51.218,95.455,12.770700410319312
house_purchase_share_pct,56.0,65.76421428571429,66.0775,53.89,77.824,4.618816321071039
buy_to_let_share_pct,56.0,12.338821428571427,12.425999999999998,7.036,22.065,2.7993821468131324
remortgage_share_pct,56.0,28.095964285714285,28.110500000000002,16.547,38.3,4.342088872941166
impaired_credit_history_pct,56.0,0.38371428571428573,0.3625,0.188,0.744,0.15753541758032633
ltv_gt_90_pct,56.0,2.7584821428571433,3.0380000000000003,0.821,4.763,1.116866069794021
