target,variable,correlation,abs_correlation
new_possessions_units,stock_possessions_units,0.9793547509426952,0.9793547509426952
new_possessions_units,total_arrears_rate_pct,0.9760786324979228,0.9760786324979228
new_possessions_units,serious_arrears_rate_pct,0.9690030353606329,0.9690030353606329
new_possessions_units,fixed_rate_share_pct,-0.91581084331025,0.91581084331025
new_possessions_units,gross_advances_gbp_m,-0.8082387842799643,0.8082387842799643
new_possessions_units,ltv_gt_95_pct,0.7708824005318281,0.7708824005318281
new_possessions_units,residential_loans_outstanding_gbp_m,-0.7532928292817885,0.7532928292817885
new_possessions_units,new_commitments_gbp_m,-0.7531838049220135,0.7531838049220135
new_possessions_units,ltv_gt_90_pct,-0.6630584812449749,0.6630584812449749
new_possessions_units,impaired_credit_history_pct,-0.4494134902107515,0.4494134902107515
new_possessions_units,uk_hpi_annual_change_pct,-0.4148007008096811,0.4148007008096811
new_possessions_units,avg_interest_rate_all_loans_pct,0.356231683385777,0.356231683385777
new_possessions_units,house_purchase_share_pct,-0.35224010040351944,0.35224010040351944
new_possessions_units,remortgage_share_pct,0.30186408380332347,0.30186408380332347
new_possessions_units,buy_to_let_share_pct,-0.2009274228055119,0.2009274228055119
serious_arrears_rate_pct,total_arrears_rate_pct,0.9967505017108529,0.9967505017108529
serious_arrears_rate_pct,stock_possessions_units,0.9795715306492279,0.9795715306492279
serious_arrears_rate_pct,new_possessions_units,0.9690030353606329,0.9690030353606329
serious_arrears_rate_pct,fixed_rate_share_pct,-0.9255918198773408,0.9255918198773408
serious_arrears_rate_pct,gross_advances_gbp_m,-0.8423821563857504,0.8423821563857504
serious_arrears_rate_pct,new_commitments_gbp_m,-0.7739031646955052,0.7739031646955052
serious_arrears_rate_pct,ltv_gt_95_pct,0.767929483261073,0.767929483261073
serious_arrears_rate_pct,residential_loans_outstanding_gbp_m,-0.714816185195195,0.714816185195195
serious_arrears_rate_pct,ltv_gt_90_pct,-0.6861480953533405,0.6861480953533405
serious_arrears_rate_pct,uk_hpi_annual_change_pct,-0.4579870116158229,0.4579870116158229
serious_arrears_rate_pct,avg_interest_rate_all_loans_pct,0.4521051265153833,0.4521051265153833
serious_arrears_rate_pct,impaired_credit_history_pct,-0.43721114035078446,0.43721114035078446
serious_arrears_rate_pct,house_purchase_share_pct,-0.29584792024945944,0.29584792024945944
serious_arrears_rate_pct,buy_to_let_share_pct,-0.266267816713861,0.266267816713861
serious_arrears_rate_pct,remortgage_share_pct,0.2554328725459426,0.2554328725459426
total_arrears_rate_pct,serious_arrears_rate_pct,0.9967505017108529,0.9967505017108529
total_arrears_rate_pct,stock_possessions_units,0.9762492835659384,0.9762492835659384
total_arrears_rate_pct,new_possessions_units,0.9760786324979228,0.9760786324979228
total_arrears_rate_pct,fixed_rate_share_pct,-0.9302898637054801,0.9302898637054801
total_arrears_rate_pct,gross_advances_gbp_m,-0.8518565276491972,0.8518565276491972
total_arrears_rate_pct,new_commitments_gbp_m,-0.7865924866533951,0.7865924866533951
total_arrears_rate_pct,ltv_gt_95_pct,0.7805048141022257,0.7805048141022257
total_arrears_rate_pct,residential_loans_outstanding_gbp_m,-0.7599938122968072,0.7599938122968072
total_arrears_rate_pct,ltv_gt_90_pct,-0.7023679173717671,0.7023679173717671
total_arrears_rate_pct,impaired_credit_history_pct,-0.4858820908322016,0.4858820908322016
total_arrears_rate_pct,uk_hpi_annual_change_pct,-0.4284889725527546,0.4284889725527546
total_arrears_rate_pct,avg_interest_rate_all_loans_pct,0.4188205968161989,0.4188205968161989
total_arrears_rate_pct,house_purchase_share_pct,-0.28979425684686927,0.28979425684686927
total_arrears_rate_pct,remortgage_share_pct,0.24660434427914107,0.24660434427914107
total_arrears_rate_pct,buy_to_let_share_pct,-0.20803997420652517,0.20803997420652517
