year,serious_arrears_rate_avg,total_arrears_rate_avg,new_possessions_total,stock_possessions_avg,avg_interest_rate_avg,uk_hpi_annual_change_avg,gross_advances_total_gbp_m,new_commitments_total_gbp_m,fixed_rate_share_avg,ltv_gt_90_avg,impaired_credit_history_avg
2011,1.95925,2.757,37723.0,15980.25,3.633,-1.4583333333333333,153214.266,153339.308,53.1205,0.9277500000000001,0.35175
2012,1.701,2.456,34539.0,14637.0,3.7415000000000003,0.4000000000000001,152361.869,149681.294,57.75025,1.308,0.27575
2013,1.5525,2.2567500000000003,29315.0,11536.75,3.4210000000000003,2.5583333333333336,176779.522,184543.097,75.8825,1.42,0.21675
2014,1.23675,1.80575,21653.0,9182.0,3.2685,8.008333333333333,205897.89,202256.887,81.94175,2.9055,0.20075
2015,1.01075,1.466,11127.0,5308.0,2.81,5.958333333333333,223343.384,230357.989,80.328,2.4365,0.20925
2016,0.91725,1.29525,9165.0,4150.75,2.49825,7.016666666666667,249273.071,251412.39,81.8235,2.91975,0.246
2017,0.823,1.13425,8453.0,3810.25,2.24125,4.566666666666666,262705.723,264662.323,88.2145,3.10775,0.27225
2018,0.7415,1.01825,7593.0,3499.0,2.262,3.15,275495.955,275019.93200000003,91.15299999999999,2.8735,0.52825
2019,0.694,0.94875,8826.0,4081.75,2.2505,0.9916666666666667,276226.969,281542.394,92.07,4.065250000000001,0.5945
2020,0.6819999999999999,0.916,2835.0,2840.5,2.00225,2.8583333333333334,249106.986,268359.365,91.44525,2.8615,0.47825
2021,0.68825,0.8885,2630.0,1793.75,2.1094999999999997,8.141666666666667,315930.559,319648.853,93.645,2.289,0.413
2022,0.62375,0.79825,5392.0,2948.75,2.5612500000000002,9.291666666666666,322491.41599999997,312605.871,94.9325,3.73075,0.45075
2023,0.79,1.05525,5847.0,4637.25,4.80075,0.3791666666666669,225068.9,200471.97600000002,86.1625,3.46175,0.475
2024,1.0150000000000001,1.29325,8209.0,6609.0,4.8785,0.6166666666666667,246100.404,262603.522,92.24425,4.31175,0.6597500000000001
